ds,y
2022-05-25,501
2022-05-26,536
2022-05-27,461
2022-05-28,241
2022-05-29,189
2022-05-30,505
2022-05-31,465
2022-06-01,487
2022-06-02,435
2022-06-03,256
2022-06-04,233
2022-06-05,164
2022-06-06,545
2022-06-07,613
2022-06-08,534
2022-06-09,506
2022-06-10,447
2022-06-11,261
2022-06-12,201
2022-06-13,598
2022-06-14,609
2022-06-15,546
2022-06-16,524
2022-06-17,410
2022-06-18,195
2022-06-19,208
2022-06-20,559
2022-06-21,553
2022-06-22,530
2022-06-23,489
2022-06-24,399
2022-06-25,198
2022-06-26,177
2022-06-27,523
2022-06-28,494
2022-06-29,486
2022-06-30,380
2022-07-01,379
2022-07-02,227
2022-07-03,162
2022-07-04,424
2022-07-05,368
2022-07-06,314
2022-07-07,324
2022-07-08,299
2022-07-09,188
2022-07-10,114
2022-07-11,371
2022-07-12,359
2022-07-13,304
2022-07-14,361
2022-07-15,341
2022-07-16,209
2022-07-17,243
2022-07-18,466
2022-07-19,479
2022-07-20,437
2022-07-21,418
2022-07-22,406
2022-07-23,260
2022-07-24,167
2022-07-25,511
2022-07-26,483
2022-07-27,455
2022-07-28,437
2022-07-29,396
2022-07-30,247
2022-07-31,183
2022-08-01,539
2022-08-02,523
2022-08-03,457
2022-08-04,445
2022-08-05,424
2022-08-06,303
2022-08-07,159
2022-08-08,492
2022-08-09,501
2022-08-10,492
2022-08-11,461
2022-08-12,392
2022-08-13,248
2022-08-14,200
2022-08-15,530
2022-08-16,494
2022-08-17,498
2022-08-18,465
2022-08-19,391
2022-08-20,279
2022-08-21,153
2022-08-22,466
2022-08-23,472
2022-08-24,495
2022-08-25,451
2022-08-26,420
2022-08-27,280
2022-08-28,174
2022-08-29,523
2022-08-30,518
2022-08-31,475
2022-09-01,440
2022-09-02,438
2022-09-03,282
2022-09-04,163
2022-09-05,487
2022-09-06,522
2022-09-07,478
2022-09-08,443
2022-09-09,390
2022-09-10,244
2022-09-11,175
2022-09-12,308
2022-09-13,479
2022-09-14,496
2022-09-15,481
2022-09-16,422
2022-09-17,280
2022-09-18,199
2022-09-19,540
2022-09-20,544
2022-09-21,516
2022-09-22,541
2022-09-23,460
2022-09-24,259
2022-09-25,193
2022-09-26,595
2022-09-27,552
2022-09-28,507
2022-09-29,463
2022-09-30,400
2022-10-01,203
2022-10-02,221
2022-10-03,272
2022-10-04,309
2022-10-05,277
2022-10-06,340
2022-10-07,239
2022-10-08,492
2022-10-09,470
2022-10-10,569
2022-10-11,553
2022-10-12,555
2022-10-13,494
2022-10-14,486
2022-10-15,285
2022-10-16,213
2022-10-17,608
2022-10-18,574
2022-10-19,567
2022-10-20,564
2022-10-21,451
2022-10-22,248
2022-10-23,173
2022-10-24,608
2022-10-25,528
2022-10-26,514
2022-10-27,516
2022-10-28,463
2022-10-29,223
2022-10-30,189
2022-10-31,579
2022-11-01,546
2022-11-02,549
2022-11-03,512
2022-11-04,456
2022-11-05,195
2022-11-06,185
2022-11-07,582
2022-11-08,582
2022-11-09,608
2022-11-10,492
2022-11-11,463
2022-11-12,228
2022-11-13,175
2022-11-14,550
2022-11-15,564
2022-11-16,545
2022-11-17,494
2022-11-18,453
2022-11-19,232
2022-11-20,199
2022-11-21,594
2022-11-22,568
2022-11-23,551
2022-11-24,507
2022-11-25,432
2022-11-26,278
2022-11-27,221
2022-11-28,595
2022-11-29,481
2022-11-30,435
2022-12-01,397
2022-12-02,396
2022-12-03,209
2022-12-04,138
2022-12-05,514
2022-12-06,555
2022-12-07,524
2022-12-08,470
2022-12-09,373
2022-12-10,169
2022-12-11,190
2022-12-12,512
2022-12-13,496
2022-12-14,418
2022-12-15,365
2022-12-16,295
2022-12-17,109
2022-12-18,123
2022-12-19,368
2022-12-20,312
2022-12-21,281
2022-12-22,276
2022-12-23,325
2022-12-24,329
2022-12-25,438
2022-12-26,809
2022-12-27,853
2022-12-28,920
2022-12-29,961
2022-12-30,983
2022-12-31,875
2023-01-01,860
2023-01-02,1001
2023-01-03,1189
2023-01-04,1086
2023-01-05,1219
2023-01-06,1140
2023-01-07,818
2023-01-08,832
2023-01-09,1177
2023-01-10,1135
2023-01-11,1095
2023-01-12,1011
2023-01-13,876
2023-01-14,580
2023-01-15,413
2023-01-16,855
2023-01-17,784
2023-01-18,755
2023-01-19,615
2023-01-20,436
2023-01-21,187
2023-01-22,90
2023-01-23,234
2023-01-24,243
2023-01-25,312
2023-01-26,309
2023-01-27,354
2023-01-28,527
2023-01-29,531
2023-01-30,665
2023-01-31,664
2023-02-01,618
2023-02-02,616
2023-02-03,532
2023-02-04,303
2023-02-05,271
2023-02-06,666
2023-02-07,741
2023-02-08,614
2023-02-09,461
2023-02-10,478
2023-02-11,299
2023-02-12,232
2023-02-13,692
2023-02-14,600
2023-02-15,608
2023-02-16,637
2023-02-17,497
2023-02-18,300
2023-02-19,241
2023-02-20,646
2023-02-21,655
2023-02-22,632
2023-02-23,521
2023-02-24,455
2023-02-25,275
2023-02-26,262
2023-02-27,676
2023-02-28,652
2023-03-01,602
2023-03-02,602
2023-03-03,542
2023-03-04,336
2023-03-05,289
2023-03-06,686
2023-03-07,710
2023-03-08,638
2023-03-09,564
2023-03-10,542
2023-03-11,314
2023-03-12,246
2023-03-13,706
2023-03-14,668
2023-03-15,615
2023-03-16,547
2023-03-17,484
2023-03-18,295
2023-03-19,231
2023-03-20,631
2023-03-21,691
2023-03-22,552
2023-03-23,538
2023-03-24,475
2023-03-25,294
2023-03-26,265
2023-03-27,669
2023-03-28,614
2023-03-29,521
2023-03-30,538
2023-03-31,493
2023-04-01,273
2023-04-02,255
2023-04-03,629
2023-04-04,537
2023-04-05,338
2023-04-06,509
2023-04-07,514
2023-04-08,284
2023-04-09,228
2023-04-10,710
2023-04-11,640
2023-04-12,594
2023-04-13,504
2023-04-14,509
2023-04-15,283
2023-04-16,225
2023-04-17,686
2023-04-18,603
2023-04-19,641
2023-04-20,503
2023-04-21,437
2023-04-22,236
2023-04-23,448
2023-04-24,552
2023-04-25,532
2023-04-26,508
2023-04-27,463
2023-04-28,391
2023-04-29,229
2023-04-30,288
2023-05-01,255
2023-05-02,292
2023-05-03,369
2023-05-04,624
2023-05-05,614
2023-05-06,504
2023-05-07,262
2023-05-08,713
2023-05-09,650
2023-05-10,571
2023-05-11,530
2023-05-12,550
2023-05-13,344
2023-05-14,294
2023-05-15,713
2023-05-16,700
2023-05-17,620
2023-05-18,588
2023-05-19,568
2023-05-20,313
2023-05-21,289
2023-05-22,703
2023-05-23,641
2023-05-24,618
2023-05-25,588
2023-05-26,553
2023-05-27,307
2023-05-28,281
2023-05-29,698
2023-05-30,658
2023-05-31,634
2023-06-01,575
2023-06-02,528
2023-06-03,335
2023-06-04,315
2023-06-05,705
2023-06-06,629
2023-06-07,600
2023-06-08,552
2023-06-09,548
2023-06-10,326
2023-06-11,269
2023-06-12,713
2023-06-13,609
2023-06-14,584
2023-06-15,579
2023-06-16,502
2023-06-17,285
2023-06-18,236
2023-06-19,634
2023-06-20,639
2023-06-21,497
2023-06-22,304
2023-06-23,295
2023-06-24,221
2023-06-25,542
2023-06-26,602
2023-06-27,610
2023-06-28,563
2023-06-29,472
2023-06-30,444
2023-07-01,268
2023-07-02,218
2023-07-03,643
2023-07-04,596
2023-07-05,563
2023-07-06,507
2023-07-07,465
2023-07-08,244
2023-07-09,232
2023-07-10,602
2023-07-11,624
2023-07-12,547
2023-07-13,462
2023-07-14,437
2023-07-15,300
2023-07-16,214
2023-07-17,616
2023-07-18,605
2023-07-19,546
2023-07-20,457
2023-07-21,430
2023-07-22,275
2023-07-23,230
2023-07-24,596
2023-07-25,572
2023-07-26,538
2023-07-27,493
2023-07-28,441
2023-07-29,300
2023-07-30,245
2023-07-31,601
