ds,y
2023-01-27,381
2023-01-28,603
2023-01-29,640
2023-01-30,813
2023-01-31,820
2023-02-01,757
2023-02-02,779
2023-02-03,696
2023-02-04,327
2023-02-05,272
2023-02-06,812
2023-02-07,893
2023-02-08,783
2023-02-09,591
2023-02-10,585
2023-02-11,328
2023-02-12,237
2023-02-13,843
2023-02-14,741
2023-02-15,763
2023-02-16,787
2023-02-17,662
2023-02-18,336
2023-02-19,246
2023-02-20,853
2023-02-21,809
2023-02-22,865
2023-02-23,735
2023-02-24,684
2023-02-25,319
2023-02-26,271
2023-02-27,872
2023-02-28,899
2023-03-01,750
2023-03-02,803
2023-03-03,727
2023-03-04,368
2023-03-05,291
2023-03-06,877
2023-03-07,921
2023-03-08,805
2023-03-09,808
2023-03-10,745
2023-03-11,356
2023-03-12,248
2023-03-13,881
2023-03-14,861
2023-03-15,769
2023-03-16,717
2023-03-17,618
2023-03-18,319
2023-03-19,234
2023-03-20,771
2023-03-21,851
2023-03-22,706
2023-03-23,712
2023-03-24,636
2023-03-25,319
2023-03-26,341
2023-03-27,857
2023-03-28,819
2023-03-29,701
2023-03-30,689
2023-03-31,679
2023-04-01,294
2023-04-02,257
2023-04-03,777
2023-04-04,715
2023-04-05,356
2023-04-06,679
2023-04-07,706
2023-04-08,307
2023-04-09,239
2023-04-10,855
2023-04-11,806
2023-04-12,728
2023-04-13,651
2023-04-14,644
2023-04-15,307
2023-04-16,230
2023-04-17,822
2023-04-18,764
2023-04-19,798
2023-04-20,679
2023-04-21,593
2023-04-22,243
2023-04-23,617
2023-04-24,732
2023-04-25,675
2023-04-26,717
2023-04-27,612
2023-04-28,571
2023-04-29,232
2023-04-30,338
2023-05-01,256
2023-05-02,295
2023-05-03,404
2023-05-04,779
2023-05-05,817
2023-05-06,687
2023-05-07,268
2023-05-08,956
2023-05-09,919
2023-05-10,798
2023-05-11,770
2023-05-12,776
2023-05-13,439
2023-05-14,338
2023-05-15,969
2023-05-16,1016
2023-05-17,864
2023-05-18,843
2023-05-19,857
2023-05-20,472
2023-05-21,407
2023-05-22,925
2023-05-23,923
2023-05-24,860
2023-05-25,849
2023-05-26,830
2023-05-27,472
2023-05-28,360
2023-05-29,863
2023-05-30,886
2023-05-31,827
2023-06-01,757
2023-06-02,748
2023-06-03,515
2023-06-04,460
2023-06-05,882
2023-06-06,830
2023-06-07,762
2023-06-08,719
2023-06-09,758
2023-06-10,408
2023-06-11,372
2023-06-12,890
2023-06-13,802
2023-06-14,770
2023-06-15,784
2023-06-16,698
2023-06-17,465
2023-06-18,378
2023-06-19,807
2023-06-20,841
2023-06-21,694
2023-06-22,353
2023-06-23,313
2023-06-24,225
2023-06-25,735
2023-06-26,805
2023-06-27,802
2023-06-28,777
2023-06-29,678
2023-06-30,635
2023-07-01,440
2023-07-02,329
2023-07-03,811
2023-07-04,786
2023-07-05,740
2023-07-06,659
2023-07-07,625
2023-07-08,396
2023-07-09,311
2023-07-10,813
2023-07-11,849
2023-07-12,724
2023-07-13,673
2023-07-14,637
2023-07-15,482
2023-07-16,217
2023-07-17,779
2023-07-18,800
2023-07-19,689
2023-07-20,603
2023-07-21,581
2023-07-22,455
2023-07-23,311
2023-07-24,740
2023-07-25,749
2023-07-26,684
2023-07-27,650
2023-07-28,622
2023-07-29,406
2023-07-30,299
2023-07-31,758
2023-08-01,755
2023-08-02,750
2023-08-03,718
2023-08-04,649
2023-08-05,415
2023-08-06,350
2023-08-07,761
2023-08-08,734
2023-08-09,781
2023-08-10,693
2023-08-11,660
2023-08-12,439
2023-08-13,360
2023-08-14,818
2023-08-15,833
2023-08-16,742
2023-08-17,671
2023-08-18,687
2023-08-19,369
2023-08-20,319
2023-08-21,805
2023-08-22,768
2023-08-23,758
2023-08-24,660
2023-08-25,623
2023-08-26,489
2023-08-27,324
2023-08-28,795
2023-08-29,785
2023-08-30,616
2023-08-31,676
