ds,y
2022-05-09,1168
2022-05-10,1156
2022-05-11,1176
2022-05-12,1095
2022-05-13,1021
2022-05-14,493
2022-05-15,346
2022-05-16,1240
2022-05-17,1282
2022-05-18,1223
2022-05-19,1224
2022-05-20,1203
2022-05-21,465
2022-05-22,269
2022-05-23,1012
2022-05-24,1334
2022-05-25,1127
2022-05-26,1373
2022-05-27,1231
2022-05-28,424
2022-05-29,278
2022-05-30,1126
2022-05-31,1223
2022-06-01,1216
2022-06-02,1216
2022-06-03,484
2022-06-04,418
2022-06-05,256
2022-06-06,1225
2022-06-07,1583
2022-06-08,1219
2022-06-09,1383
2022-06-10,1162
2022-06-11,470
2022-06-12,299
2022-06-13,1263
2022-06-14,1452
2022-06-15,1330
2022-06-16,1375
2022-06-17,1301
2022-06-18,372
2022-06-19,315
2022-06-20,1272
2022-06-21,1551
2022-06-22,1236
2022-06-23,1323
2022-06-24,1157
2022-06-25,353
2022-06-26,258
2022-06-27,1246
2022-06-28,1334
2022-06-29,1285
2022-06-30,1180
2022-07-01,1077
2022-07-02,490
2022-07-03,231
2022-07-04,1070
2022-07-05,1129
2022-07-06,918
2022-07-07,988
2022-07-08,772
2022-07-09,409
2022-07-10,165
2022-07-11,876
2022-07-12,1066
2022-07-13,763
2022-07-14,1013
2022-07-15,851
2022-07-16,418
2022-07-17,331
2022-07-18,1119
2022-07-19,1250
2022-07-20,1132
2022-07-21,982
2022-07-22,1027
2022-07-23,511
2022-07-24,234
2022-07-25,1125
2022-07-26,1196
2022-07-27,1355
2022-07-28,1232
2022-07-29,972
2022-07-30,495
2022-07-31,260
2022-08-01,1189
2022-08-02,1383
2022-08-03,1087
2022-08-04,1282
2022-08-05,1066
2022-08-06,602
2022-08-07,241
2022-08-08,1153
2022-08-09,1319
2022-08-10,1365
2022-08-11,1284
2022-08-12,991
2022-08-13,466
2022-08-14,290
2022-08-15,1128
2022-08-16,1359
2022-08-17,1143
2022-08-18,1264
2022-08-19,1025
2022-08-20,550
2022-08-21,229
2022-08-22,1077
2022-08-23,1318
2022-08-24,1197
2022-08-25,1294
2022-08-26,1130
2022-08-27,553
2022-08-28,243
2022-08-29,1193
2022-08-30,1424
2022-08-31,1136
2022-09-01,1236
2022-09-02,1026
2022-09-03,546
2022-09-04,237
2022-09-05,1122
2022-09-06,1370
2022-09-07,1218
2022-09-08,1165
2022-09-09,1040
2022-09-10,483
2022-09-11,263
2022-09-12,532
2022-09-13,1325
2022-09-14,1221
2022-09-15,1264
2022-09-16,1212
2022-09-17,506
2022-09-18,312
2022-09-19,1188
2022-09-20,1328
2022-09-21,1280
2022-09-22,1374
2022-09-23,1087
2022-09-24,496
2022-09-25,276
2022-09-26,1437
2022-09-27,1373
2022-09-28,1274
2022-09-29,1170
2022-09-30,1024
2022-10-01,305
2022-10-02,532
2022-10-03,381
2022-10-04,546
2022-10-05,552
2022-10-06,683
2022-10-07,363
2022-10-08,1318
2022-10-09,1201
2022-10-10,1377
2022-10-11,1239
2022-10-12,1420
2022-10-13,1241
2022-10-14,1203
2022-10-15,551
2022-10-16,297
2022-10-17,1410
2022-10-18,1397
2022-10-19,1412
2022-10-20,1390
2022-10-21,1147
2022-10-22,433
2022-10-23,261
2022-10-24,1389
2022-10-25,1331
2022-10-26,1362
2022-10-27,1255
2022-10-28,1242
2022-10-29,408
2022-10-30,270
2022-10-31,1393
2022-11-01,1343
2022-11-02,1420
2022-11-03,1289
2022-11-04,1170
2022-11-05,351
2022-11-06,238
2022-11-07,1365
2022-11-08,1407
2022-11-09,1470
2022-11-10,1238
2022-11-11,1186
2022-11-12,432
2022-11-13,250
2022-11-14,1351
2022-11-15,1311
2022-11-16,1315
2022-11-17,1217
2022-11-18,1173
2022-11-19,455
2022-11-20,304
2022-11-21,1347
2022-11-22,1338
2022-11-23,1426
2022-11-24,1309
2022-11-25,1177
2022-11-26,508
2022-11-27,326
2022-11-28,1445
2022-11-29,1235
2022-11-30,1175
2022-12-01,1063
2022-12-02,1080
2022-12-03,395
2022-12-04,226
2022-12-05,1295
2022-12-06,1283
2022-12-07,1237
2022-12-08,1159
2022-12-09,921
2022-12-10,335
2022-12-11,287
2022-12-12,1292
2022-12-13,1244
2022-12-14,1170
2022-12-15,1096
2022-12-16,997
2022-12-17,191
2022-12-18,192
2022-12-19,1029
2022-12-20,826
2022-12-21,628
2022-12-22,538
2022-12-23,609
2022-12-24,443
2022-12-25,546
2022-12-26,1046
2022-12-27,1095
2022-12-28,1140
2022-12-29,1177
2022-12-30,1130
2022-12-31,1022
2023-01-01,1171
2023-01-02,1250
2023-01-03,1553
2023-01-04,1420
2023-01-05,1559
2023-01-06,1535
2023-01-07,950
2023-01-08,964
2023-01-09,1624
2023-01-10,1553
2023-01-11,1507
2023-01-12,1482
2023-01-13,1288
2023-01-14,779
2023-01-15,506
2023-01-16,1254
2023-01-17,1272
2023-01-18,1254
2023-01-19,1021
2023-01-20,722
2023-01-21,242
2023-01-22,136
2023-01-23,422
2023-01-24,315
2023-01-25,487
2023-01-26,404
2023-01-27,613
2023-01-28,1126
2023-01-29,1279
2023-01-30,1457
2023-01-31,1447
2023-02-01,1404
2023-02-02,1449
2023-02-03,1345
2023-02-04,523
2023-02-05,358
2023-02-06,1436
2023-02-07,1555
2023-02-08,1437
2023-02-09,1032
2023-02-10,979
2023-02-11,651
2023-02-12,319
2023-02-13,1560
2023-02-14,1429
2023-02-15,1457
2023-02-16,1584
2023-02-17,1275
2023-02-18,588
2023-02-19,388
2023-02-20,1585
2023-02-21,1633
2023-02-22,1663
2023-02-23,1554
2023-02-24,1303
2023-02-25,546
2023-02-26,353
2023-02-27,1583
2023-02-28,1768
2023-03-01,1370
2023-03-02,1623
2023-03-03,1252
2023-03-04,616
2023-03-05,424
2023-03-06,1574
2023-03-07,1761
2023-03-08,1542
2023-03-09,1597
2023-03-10,1329
2023-03-11,560
2023-03-12,348
2023-03-13,1611
2023-03-14,1726
2023-03-15,1434
2023-03-16,1366
2023-03-17,1193
2023-03-18,561
2023-03-19,339
2023-03-20,1416
2023-03-21,1792
2023-03-22,1288
2023-03-23,1370
2023-03-24,1240
2023-03-25,496
2023-03-26,390
2023-03-27,1583
2023-03-28,1515
2023-03-29,1364
2023-03-30,1353
2023-03-31,1384
2023-04-01,486
