ds,y
2022-07-09,23
2022-07-10,3
2022-07-11,44
2022-07-12,74
2022-07-13,53
2022-07-14,76
2022-07-15,50
2022-07-16,26
2022-07-17,6
2022-07-18,58
2022-07-19,71
2022-07-20,71
2022-07-21,57
2022-07-22,62
2022-07-23,22
2022-07-24,3
2022-07-25,45
2022-07-26,67
2022-07-27,89
2022-07-28,94
2022-07-29,56
2022-07-30,27
2022-07-31,3
2022-08-01,58
2022-08-02,72
2022-08-03,67
2022-08-04,97
2022-08-05,66
2022-08-06,24
2022-08-07,1
2022-08-08,52
2022-08-09,88
2022-08-10,71
2022-08-11,84
2022-08-12,75
2022-08-13,29
2022-08-14,4
2022-08-15,58
2022-08-16,78
2022-08-17,57
2022-08-18,93
2022-08-19,64
2022-08-20,25
2022-08-21,7
2022-08-22,57
2022-08-23,89
2022-08-24,61
2022-08-25,94
2022-08-26,71
2022-08-27,20
2022-08-28,1
2022-08-29,61
2022-08-30,77
2022-08-31,66
2022-09-01,94
2022-09-02,72
2022-09-03,30
2022-09-04,1
2022-09-05,55
2022-09-06,86
2022-09-07,60
2022-09-08,90
2022-09-09,68
2022-09-10,23
2022-09-11,4
2022-09-12,23
2022-09-13,87
2022-09-14,75
2022-09-15,81
2022-09-16,94
2022-09-17,18
2022-09-18,3
2022-09-19,64
2022-09-20,77
2022-09-21,76
2022-09-22,83
2022-09-23,65
2022-09-24,27
2022-09-25,1
2022-09-26,83
2022-09-27,76
2022-09-28,77
2022-09-29,79
2022-09-30,67
2022-10-01,7
2022-10-02,32
2022-10-03,10
2022-10-04,28
2022-10-05,34
2022-10-06,26
2022-10-07,4
2022-10-08,89
2022-10-09,60
2022-10-10,68
2022-10-11,81
2022-10-12,87
2022-10-13,91
2022-10-14,87
2022-10-15,29
2022-10-16,4
2022-10-17,69
2022-10-18,75
2022-10-19,82
2022-10-20,91
2022-10-21,89
2022-10-22,21
2022-10-23,7
2022-10-24,81
2022-10-25,89
2022-10-26,84
2022-10-27,93
2022-10-28,84
2022-10-29,21
2022-10-30,3
2022-10-31,92
2022-11-01,88
2022-11-02,93
2022-11-03,85
2022-11-04,80
2022-11-05,20
2022-11-06,1
2022-11-07,73
2022-11-08,81
2022-11-09,77
2022-11-10,86
2022-11-11,93
2022-11-12,28
2022-11-13,3
2022-11-14,90
2022-11-15,73
2022-11-16,69
2022-11-17,74
2022-11-18,93
2022-11-19,25
2022-11-20,6
2022-11-21,70
2022-11-22,82
2022-11-23,78
2022-11-24,85
2022-11-25,79
2022-11-26,22
2022-11-27,3
2022-11-28,73
2022-11-29,77
2022-11-30,81
2022-12-01,66
2022-12-02,77
2022-12-03,25
2022-12-04,1
2022-12-05,66
2022-12-06,72
2022-12-07,80
2022-12-08,59
2022-12-09,59
2022-12-10,25
2022-12-11,3
2022-12-12,75
2022-12-13,80
2022-12-14,82
2022-12-15,77
2022-12-16,74
2022-12-17,4
2022-12-18,1
2022-12-19,64
2022-12-20,45
2022-12-21,35
2022-12-22,20
2022-12-23,25
2022-12-24,1
2022-12-25,2
2022-12-26,15
2022-12-27,13
2022-12-28,16
2022-12-29,11
2022-12-30,2
2023-01-01,24
2023-01-02,20
2023-01-03,22
2023-01-04,25
2023-01-05,24
2023-01-06,29
2023-01-07,4
2023-01-08,2
2023-01-09,37
2023-01-10,40
2023-01-11,24
2023-01-12,52
2023-01-13,38
2023-01-14,25
2023-01-15,4
2023-01-16,46
2023-01-17,49
2023-01-18,61
2023-01-19,44
2023-01-20,26
2023-01-21,1
2023-01-23,18
2023-01-24,1
2023-01-25,26
2023-01-26,6
2023-01-27,27
2023-01-28,52
2023-01-29,59
2023-01-30,91
2023-01-31,85
2023-02-01,76
2023-02-02,87
2023-02-03,92
2023-02-04,24
2023-02-05,1
2023-02-06,82
2023-02-07,88
2023-02-08,83
2023-02-09,59
2023-02-10,44
2023-02-11,29
2023-02-12,5
2023-02-13,89
2023-02-14,75
2023-02-15,79
2023-02-16,97
2023-02-17,100
2023-02-18,36
2023-02-19,5
2023-02-20,89
2023-02-21,94
2023-02-22,104
2023-02-23,109
2023-02-24,107
2023-02-25,44
2023-02-26,9
2023-02-27,82
2023-02-28,115
2023-03-01,80
2023-03-02,111
2023-03-03,98
2023-03-04,32
2023-03-05,2
2023-03-06,93
2023-03-07,108
2023-03-08,74
2023-03-09,114
2023-03-10,91
2023-03-11,21
2023-03-12,2
2023-03-13,76
2023-03-14,97
2023-03-15,83
2023-03-16,79
2023-03-17,90
2023-03-18,24
2023-03-19,3
2023-03-20,87
2023-03-21,100
2023-03-22,87
2023-03-23,95
2023-03-24,93
2023-03-25,25
2023-03-26,3
2023-03-27,78
2023-03-28,77
2023-03-29,92
2023-03-30,78
2023-03-31,103
2023-04-01,21
2023-04-02,2
2023-04-03,87
2023-04-04,94
2023-04-05,18
2023-04-06,76
2023-04-07,86
2023-04-08,23
2023-04-09,11
2023-04-10,78
2023-04-11,98
2023-04-12,83
2023-04-13,84
2023-04-14,84
2023-04-15,24
2023-04-16,5
2023-04-17,81
2023-04-18,72
2023-04-19,90
2023-04-20,109
2023-04-21,99
2023-04-22,7
2023-04-23,78
2023-04-24,68
2023-04-25,86
2023-04-26,87
2023-04-27,82
2023-04-28,94
2023-04-29,3
2023-04-30,50
2023-05-01,1
2023-05-02,3
2023-05-03,35
2023-05-04,84
2023-05-05,96
2023-05-06,75
2023-05-07,6
2023-05-08,80
2023-05-09,96
2023-05-10,100
2023-05-11,81
2023-05-12,85
2023-05-13,26
2023-05-14,9
2023-05-15,78
2023-05-16,101
2023-05-17,93
2023-05-18,85
2023-05-19,84
2023-05-20,31
2023-05-21,13
2023-05-22,83
2023-05-23,90
2023-05-24,77
2023-05-25,85
2023-05-26,97
2023-05-27,27
2023-05-28,5
2023-05-29,79
2023-05-30,75
2023-05-31,79
2023-06-01,88
2023-06-02,96
2023-06-03,21
2023-06-04,8
2023-06-05,79
2023-06-06,84
2023-06-07,77
2023-06-08,81
2023-06-09,74
2023-06-10,25
2023-06-11,3
2023-06-12,75
2023-06-13,96
2023-06-14,83
2023-06-15,81
2023-06-16,86
2023-06-17,25
2023-06-18,7
2023-06-19,71
2023-06-20,80
2023-06-21,82
2023-06-22,49
2023-06-23,18
2023-06-24,4
2023-06-25,84
2023-06-26,87
2023-06-27,87
2023-06-28,89
2023-06-29,87
2023-06-30,77
2023-07-01,25
2023-07-02,12
2023-07-03,96
2023-07-04,83
2023-07-05,78
2023-07-06,85
2023-07-07,88
2023-07-08,31
2023-07-09,3
2023-07-10,88
2023-07-11,87
2023-07-12,86
2023-07-13,87
2023-07-14,90
2023-07-15,29
2023-07-16,3
2023-07-17,73
2023-07-18,79
2023-07-19,67
2023-07-20,82
2023-07-21,78
2023-07-22,27
2023-07-24,91
2023-07-25,106
2023-07-26,87
2023-07-27,79
2023-07-28,94
2023-07-29,26
2023-07-30,3
2023-07-31,70
